Region.Name	Uncertainty.Bounds*	1990.5	1991.5	1992.5	1993.5	1994.5	1995.5	1996.5	1997.5	1998.5	1999.5	2000.5	2001.5	2002.5	2003.5	2004.5	2005.5	2006.5	2007.5	2008.5	2009.5	2010.5	2011.5	2012.5	2013.5	2014.5	2015.5	2016.5	2017.5	2018.5	2019.5
Oceania	Median	4343	4259	4184	4117	4065	4037	4005	4000	3956	3927	3895	3855	3811	3760	3707	3647	3581	3515	3442	3396	3287	3209	3119	3037	2947	2865	2776	2688	2606	2509
Oceania	Upper	4794	4704	4631	4569	4526	4500	4490	4497	4471	4470	4462	4445	4429	4403	4363	4319	4264	4206	4138	4103	4020	3967	3917	3870	3827	3778	3763	3753	3735	3739
Oceania excluding Australia and New Zealand	Lower	3416	3356	3303	3262	3227	3199	3178	3179	3139	3107	3077	3040	2998	2945	2886	2826	2760	2687	2607	2548	2436	2342	2246	2155	2054	1952	1844	1738	1628	1523
Oceania excluding Australia and New Zealand	Median	3839	3776	3723	3677	3643	3631	3614	3621	3589	3573	3551	3523	3488	3444	3395	3338	3276	3213	3144	3103	3000	2930	2849	2776	2695	2620	2538	2455	2378	2287
Oceania excluding Australia and New Zealand	Upper	4289	4220	4170	4131	4105	4094	4097	4117	4105	4116	4119	4112	4105	4085	4050	4011	3960	3905	3841	3810	3733	3687	3647	3609	3572	3534	3525	3519	3506	3515
Australia and New Zealand	Lower	497	475	453	433	415	400	386	373	361	349	337	326	318	311	307	303	300	297	293	288	282	274	265	256	247	240	233	226	219	211
Australia and New Zealand	Median	504	483	461	440	422	406	391	379	367	354	344	332	323	316	312	309	305	302	298	293	287	279	270	261	252	245	238	233	228	222
Australia and New Zealand	Upper	513	490	468	447	429	413	398	385	373	361	348	338	329	322	317	314	310	307	303	298	292	284	275	266	257	250	244	240	237	235
World	Lower	3714611	3654249	3586132	3513324	3457002	3359323	3252083	3163824	3075040	2962581	2849968	2737664	2624204	2512674	2430906	2300874	2200848	2102203	2022405	1906994	1844427	1729629	1648932	1572159	1503528	1440192	1373616	1315850	1257683	1204413
World	Median	3778513	3716101	3646078	3571261	3514161	3414016	3304646	3215348	3125811	3012929	2899135	2786086	2672281	2560213	2478037	2347799	2247896	2150151	2071247	1956207	1895460	1781838	1703818	1629603	1564420	1504728	1442559	1387277	1334911	1284531
World	Upper	3854274	3787806	3714699	3637606	3579555	3477511	3367137	3277011	3186438	3073284	2958619	2844535	2729842	2618678	2536673	2405908	2307551	2210700	2133624	2020962	1962950	1853651	1781859	1715823	1660236	1613516	1566773	1526763	1494260	1463959
																															
	* Lower and Upper refer to the lower bound and upper bound of 90% uncertainty intervals.																														
